clean_item_name,num_participants,count,percent
action figures,211,22,0.10426540284360189
animal figurines,211,45,0.2132701421800948
art supplies,211,45,0.2132701421800948
balls,211,24,0.11374407582938388
board games,211,22,0.10426540284360189
books,211,72,0.3412322274881517
bugs,211,10,0.04739336492890995
clothes,211,21,0.0995260663507109
coins,211,50,0.23696682464454977
construction toys,211,68,0.3222748815165877
digital items,211,37,0.17535545023696683
dolls,211,48,0.22748815165876776
feathers,211,13,0.061611374407582936
flowers,211,29,0.13744075829383887
food,211,16,0.07582938388625593
goo,211,22,0.10426540284360189
holiday,211,13,0.061611374407582936
jewelry,211,31,0.14691943127962084
leaves,211,27,0.12796208530805686
magazines,211,5,0.023696682464454975
marbles,211,8,0.037914691943127965
moss,211,5,0.023696682464454975
music,211,6,0.02843601895734597
photos,211,18,0.08530805687203792
plants,211,8,0.037914691943127965
playsets,211,30,0.14218009478672985
postcards,211,4,0.018957345971563982
posters,211,4,0.018957345971563982
rocks,211,102,0.4834123222748815
shells,211,59,0.2796208530805687
souvenirs,211,22,0.10426540284360189
sports memorabilia,211,6,0.02843601895734597
stamps,211,1,0.004739336492890996
sticks,211,40,0.1895734597156398
stuffed animals,211,103,0.4881516587677725
toy cars,211,47,0.22274881516587677
toy soldiers,211,5,0.023696682464454975
trading cards,211,49,0.23222748815165878
TV characters,211,40,0.1895734597156398
