clean_item_name,gender_clean,count,num_participants,percent
TV characters,boy,18,109,0.1651376146788991
TV characters,girl,22,102,0.21568627450980393
action figures,boy,17,109,0.1559633027522936
action figures,girl,5,102,0.049019607843137254
animal figurines,boy,21,109,0.1926605504587156
animal figurines,girl,24,102,0.23529411764705882
art supplies,boy,13,109,0.11926605504587157
art supplies,girl,32,102,0.3137254901960784
balls,boy,21,109,0.1926605504587156
balls,girl,3,102,0.029411764705882353
board games,boy,10,109,0.09174311926605505
board games,girl,12,102,0.11764705882352941
books,boy,38,109,0.3486238532110092
books,girl,34,102,0.3333333333333333
bugs,boy,3,109,0.027522935779816515
bugs,girl,7,102,0.06862745098039216
clothes,boy,8,109,0.07339449541284404
clothes,girl,13,102,0.12745098039215685
coins,boy,26,109,0.23853211009174313
coins,girl,24,102,0.23529411764705882
construction toys,boy,46,109,0.42201834862385323
construction toys,girl,22,102,0.21568627450980393
digital items,boy,27,109,0.24770642201834864
digital items,girl,10,102,0.09803921568627451
dolls,boy,1,109,0.009174311926605505
dolls,girl,47,102,0.46078431372549017
feathers,boy,3,109,0.027522935779816515
feathers,girl,10,102,0.09803921568627451
flowers,boy,8,109,0.07339449541284404
flowers,girl,21,102,0.20588235294117646
food,boy,4,109,0.03669724770642202
food,girl,12,102,0.11764705882352941
goo,boy,5,109,0.045871559633027525
goo,girl,17,102,0.16666666666666666
holiday,boy,6,109,0.05504587155963303
holiday,girl,7,102,0.06862745098039216
jewelry,boy,1,109,0.009174311926605505
jewelry,girl,30,102,0.29411764705882354
leaves,boy,10,109,0.09174311926605505
leaves,girl,17,102,0.16666666666666666
magazines,boy,1,109,0.009174311926605505
magazines,girl,4,102,0.0392156862745098
marbles,boy,4,109,0.03669724770642202
marbles,girl,4,102,0.0392156862745098
moss,boy,2,109,0.01834862385321101
moss,girl,3,102,0.029411764705882353
music,boy,2,109,0.01834862385321101
music,girl,4,102,0.0392156862745098
photos,boy,4,109,0.03669724770642202
photos,girl,14,102,0.13725490196078433
plants,boy,3,109,0.027522935779816515
plants,girl,5,102,0.049019607843137254
playsets,boy,15,109,0.13761467889908258
playsets,girl,15,102,0.14705882352941177
postcards,boy,2,109,0.01834862385321101
postcards,girl,2,102,0.0196078431372549
posters,boy,1,109,0.009174311926605505
posters,girl,3,102,0.029411764705882353
rocks,boy,49,109,0.44954128440366975
rocks,girl,53,102,0.5196078431372549
shells,boy,21,109,0.1926605504587156
shells,girl,38,102,0.37254901960784315
souvenirs,boy,11,109,0.10091743119266056
souvenirs,girl,11,102,0.10784313725490197
sports memorabilia,boy,6,109,0.05504587155963303
stamps,boy,1,109,0.009174311926605505
sticks,boy,25,109,0.22935779816513763
sticks,girl,15,102,0.14705882352941177
stuffed animals,boy,36,109,0.3302752293577982
stuffed animals,girl,67,102,0.6568627450980392
toy cars,boy,41,109,0.3761467889908257
toy cars,girl,6,102,0.058823529411764705
toy soldiers,boy,5,109,0.045871559633027525
trading cards,boy,38,109,0.3486238532110092
trading cards,girl,11,102,0.10784313725490197
